dog_ID,dog_cdl_name,first_bucket_A,fam_phase_2_first_trial_type,fam_phase_3_first_trial_type,condition,breed,sex,castrated,FCI_group,birthdate,test_date,age_months,experience_in_dog_sport,hider,communicator,nr_fam_phase1_trials,nr_fam_phase2_trials,nr_fam_phase3_trials,no_choice_trials,tot_nr_fam_trials,choice_letter,choice_colour,notes
1,Ringo,grey,no_displacement,displacement,control,romagna_waterdog,m,yes,8,15/11/2018,11/9/2024,69,no,VB,LL,2,2,2,no,6,A,grey,
2,Lina4,blue,displacement,displacement,false_belief,shetland_sheepdog,f,yes,1,10/9/2019,10/9/2024,60,"mantrailing, rally obedience",VB,LL,4,2,2,no,8,A,blue,
3,Benny7,blue,displacement,displacement,false_belief,border_collie,m,no,1,28/6/2013,7/10/2024,135,"dog_dance, shepherd_training",VB,LL,4,2,2,no,8,A,blue,
4,EltonJohn,grey,displacement,no_displacement,false_belief,border_collie,m,no,1,24/3/2022,7/10/2024,30,"dog_dance, shepherd_training",VB,LL,2,2,2,no,6,B,blue,
5,Bucky,grey,displacement,no_displacement,knowledge,appenzeller_sennenhund,m,yes_chip,2,12/2/2022,17/9/2024,31,no,VB,LL,2,3,2,2_in_fam_phase_2,7,B,blue,
6,Bailey6,blue,displacement,displacement,false_belief,labrador_retriever,f,yes,8,01/08/2017,18/10/2024,86,"mantrailing, dummy",VB,CH,2,2,2,no,6,A,blue,
7,Terence,grey,no_displacement,displacement,false_belief,welsh_corgi_pembroke,m,yes,1,28/03/2019,19/10/2024,66,"lure_training, agility, shepherd_training",GR,VB,2,2,2,no,6,B,blue,sausages
8,Woody2,grey,no_displacement,displacement,false_belief,irish_setter,m,no,7,26/04/2019,22/10/2024,65,"mantrailing, obedience, breed_exhibitions, hunting",VB,LL,2,2,2,no,6,A,grey,
9,Ellie,grey,displacement,no_displacement,control,welsh_corgi,f,yes,1,09/09/2020,17/10/2024,49,no,GR,VB,2,3,2,no,7,A,grey,own food; shorter buckets
10,Kosmo,blue,no_displacement,displacement,control,welsh_corgi,m,no,1,08/02/2022,17/10/2024,32,no,GR,VB,4,2,3,no,9,A,blue,sausages; shorter buckets
11,Mable,grey,no_displacement,no_displacement,false_belief,border_collie,f,no,1,28/1/2022,22/10/2024,32,,GR,VB,4,2,2,no,8,B,blue,
12,Zita2,grey,displacement,no_displacement,control,belgian_shepherd,f,no,1,09/06/2015,18/10/2024,112,,GR,CH,2,3,2,no,7,B,blue,sausages
13,Quattro,grey,no_displacement,displacement,control,border_collie,m,no,1,14/01/2024,18/10/2024,9,"obedience, rescue dog",VB,CH,2,2,2,no,6,B,blue,
14,Massimo,blue,displacement,no_displacement,control,hovawart,m,no,2,10/05/2022,19/10/2024,29,no,GR,VB,4,2,4,no,10,B,grey,sausages
15,Ella4,blue,no_displacement,no_displacement,control,golden_retriever,f,no,8,11/10/2022,21/10/2024,24,no,GR,CH,2,2,2,no,6,B,grey,sausages
16,Paddy,blue,no_displacement,no_displacement,control,irish_setter,m,no,7,18/03/2017,22/10/2024,91,"mantrailing, obedience, breed_exhibitions, hunting",VB,LL,2,2,2,no,6,A,blue,
17,Allegro2,blue,no_displacement,displacement,knowledge,border_collie,m,no,1,17/5/2013,12/10/2024,136,,VB,CH,2,2,2,no,6,A,blue,
18,Saphira4,blue,no_displacement,no_displacement,control,german_shepherd,f,yes,1,11/09/2021,23/10/2024,37,"therapiebegleithund, id_tracking, agility",GR,CH,2,2,2,no,6,B,grey,sausages
19,Loomis,blue,displacement,no_displacement,control,golden_retriever,m,no,8,24/09/2020,25/10/2024,49,"mantrailing, cognitive_tasks",GR,VB,4,2,2,no,8,B,grey,sausages
20,Destino,grey,no_displacement,no_displacement,knowledge,border_collie,m,no,1,21/01/2020,12/10/2024,56,,VB,CH,2,2,2,no,6,A,grey,
21,Jaguar,grey,no_displacement,no_displacement,knowledge,dutch_shepherd,m,yes,1,08/12/2014,18/10/2024,118,no,GR,VB,3,2,2,no,7,B,blue,sausages
22,Ivy-Infinity,blue,displacement,displacement,false_belief,labrador_retriever,f,yes,8,14/05/2020,20/10/2024,53,mantrailing,GR,VB,2,2,2,no,6,A,blue,
23,Fortuna,blue,no_displacement,no_displacement,false_belief,labrador_retriever,f,yes,8,05/05/2017,24/10/2024,89,diabetes_alert_dog,GR,CH,2,3,2,no,7,B,grey,sausages
24,Savvy,blue,displacement,displacement,control,labrador_retriever,f,yes,8,04/04/2015,27/10/2024,114,no,GR,VB,2,2,2,no,6,B,grey,
25,Daisy5,blue,no_displacement,no_displacement,knowledge,golden_retriever,f,no,8,15/05/2020,19/10/2024,53,,GR,VB,3,2,2,no,7,B,grey,sausages
26,Loki5,blue,no_displacement,displacement,control,golden_retriever,f,yes,8,26/06/2019,28/10/2024,64,obedience,GR,VB,2,2,2,no,6,B,grey,
27,Thor3,blue,no_displacement,no_displacement,knowledge,welsh_corgi_pembroke,m,yes,1,30/10/2021,19/10/2024,35,tricktraining,GR,VB,4,2,2,no,8,A,blue,
28,June3,blue,displacement,no_displacement,control,australian_shepherd,f,yes,1,10/01/2021,28/10/2024,45,mantrailing,GR,VB,2,2,2,no,6,A,blue,
29,Frida3,blue,no_displacement,no_displacement,knowledge,australian_shepherd,f,no,1,07/03/2021,22/10/2024,43,"agility, obedience",GR,VB,2,4,2,no,8,B,grey,sausages
30,Emma12,blue,no_displacement,no_displacement,false_belief,labrador_retriever,f,,8,08/10/2018,26/10/2024,72,"agility, mantrailing, tricks, therapy assistance",VB,CH,2,2,2,no,6,A,blue,
31,Willi2,grey,displacement,displacement,false_belief,labrador_retriever,m,yes,8,01/10/2022,28/10/2024,24,no,GR,VB,2,2,2,no,6,A,grey,
